species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000365,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,limnodromus limnodromus griseus,Limnodromus Limnodromus griseus,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,SNIB,SNIB/CONABIO valid taxonomy:limnodromus limnodromus griseus,10,9,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Vulnerable (VU),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000364,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,limnodromus griseus,Limnodromus griseus,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,GBIF,GBIF Backbone:2481672.0,6,5,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000366,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lobophora lobophora variegata,Lobophora Lobophora variegata,species,Chromista,Heterokontophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Lobophora,SNIB,SNIB/CONABIO valid taxonomy:lobophora lobophora variegata,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000367,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lonchura lonchura punctulata,Lonchura Lonchura punctulata,species,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,SNIB,SNIB/CONABIO valid taxonomy:lonchura lonchura punctulata,2,2,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,Exótica-Invasora,,source_authority_resolved,source_traceable
SP-000368,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,lonchura punctulata,Lonchura punctulata,SPECIES,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,GBIF,GBIF Backbone:2493598.0,2,2,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000369,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,macronychiini,Macronychiini,,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,,Naturalista,Naturalista/iNaturalist taxonomy:1502302,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000371,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,macroptilium macroptilium atropurpureum,Macroptilium Macroptilium atropurpureum,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Macroptilium,SNIB,SNIB/CONABIO valid taxonomy:macroptilium macroptilium atropurpureum,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000370,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,macroptilium atropurpureum,Macroptilium atropurpureum,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Macroptilium,GBIF,GBIF Backbone:2945047.0,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000372,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,magnoliopsida,Magnoliopsida,,Plantae,Tracheophyta,Magnoliopsida,,,,Naturalista,Naturalista/iNaturalist taxonomy:47124,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000373,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,manicaria manicaria saccifera,Manicaria Manicaria saccifera,species,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Manicaria,SNIB,SNIB/CONABIO valid taxonomy:manicaria manicaria saccifera,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
