species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002223,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctena,Ctena,Genus,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Ctena,OBIS; SNIB,WoRMS/OBIS:138144; SNIB/CONABIO valid taxonomy:ctena,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002224,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctena ctena orbiculata,Ctena Ctena orbiculata,species,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Ctena,SNIB,SNIB/CONABIO valid taxonomy:ctena ctena orbiculata,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002225,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctena morch 1861,"Ctena Mörch, 1861",GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Ctena,GBIF,GBIF Backbone:8011280.0,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002226,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctena orbiculata,Ctena orbiculata,Species,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Ctena,GBIF; OBIS,GBIF Backbone:5855652.0; WoRMS/OBIS:420788,11,6,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002227,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides,Ctenoides,,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,Naturalista; SNIB,Naturalista/iNaturalist taxonomy:204595; SNIB/CONABIO valid taxonomy:ctenoides,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_Naturalista.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,coordinate_uncertainty_gt_10km,source_authority_resolved,source_traceable
SP-002228,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides ctenoides mitis,Ctenoides Ctenoides mitis,species,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,SNIB,SNIB/CONABIO valid taxonomy:ctenoides ctenoides mitis,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002229,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides ctenoides scaber,Ctenoides Ctenoides scaber,species,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,SNIB,SNIB/CONABIO valid taxonomy:ctenoides ctenoides scaber,14,11,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002231,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides morch 1853,"Ctenoides Mörch, 1853",GENUS,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,GBIF,GBIF Backbone:4305315.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002230,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides mitis,Ctenoides mitis,SPECIES,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,GBIF; OBIS,GBIF Backbone:5855457.0; WoRMS/OBIS:420744,10,7,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002232,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ctenoides scaber,Ctenoides scaber,SPECIES,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,GBIF; OBIS,GBIF Backbone:6530486.0; WoRMS/OBIS:420747,47,29,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
