species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002716,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericthonius h.milne edwards 1830,"Ericthonius H.Milne Edwards, 1830",GENUS,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,GBIF,GBIF Backbone:2219292.0,4,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002713,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericthonius brasiliensis,Ericthonius brasiliensis,SPECIES,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,GBIF; OBIS,GBIF Backbone:2219294.0; WoRMS/OBIS:102401,12,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002714,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ericthonius difformis,Ericthonius difformis,SPECIES,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,GBIF,GBIF Backbone:2219303.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002717,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eriphia eriphia gonagra,Eriphia Eriphia gonagra,species,Animalia,Arthropoda,Malacostraca,Decapoda,Eriphiidae,Eriphia,SNIB,SNIB/CONABIO valid taxonomy:eriphia eriphia gonagra,8,8,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002718,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,eriphia gonagra,Eriphia gonagra,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Eriphiidae,Eriphia,GBIF; OBIS,GBIF Backbone:5968765.0; WoRMS/OBIS:422068,12,12,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002719,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erosaria erosaria acicularis,Erosaria Erosaria acicularis,species,Animalia,Mollusca,Gastropoda,No Asignado,Cypraeidae,Erosaria,SNIB,SNIB/CONABIO valid taxonomy:erosaria erosaria acicularis,25,16,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002720,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erylus formosus,Erylus formosus,Species,Animalia,Porifera,Demospongiae,Tetractinellida,Geodiidae,Erylus,OBIS,WoRMS/OBIS:170070,3,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002721,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erythrobacter,Erythrobacter,Genus,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,OBIS,WoRMS/OBIS:393075,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002722,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erythrobacter shiba & simidu 1982,"Erythrobacter Shiba & Simidu, 1982",GENUS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,GBIF,GBIF Backbone:3221318.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002723,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,erythrotrichia,Erythrotrichia,Genus,Plantae,Rhodophyta,Compsopogonophyceae,Erythropeltales,Erythrotrichiaceae,Erythrotrichia,OBIS; SNIB,WoRMS/OBIS:144121; SNIB/CONABIO valid taxonomy:erythrotrichia,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
