species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-006849,RBBK,Reserva de la Biosfera Balam Kú,aphelandra scabra,Aphelandra scabra,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,GBIF,GBIF Backbone:7264013.0,6,5,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006850,RBBK,Reserva de la Biosfera Balam Kú,aphis aphis gossypii,Aphis Aphis gossypii,species,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,SNIB,SNIB/CONABIO valid taxonomy:aphis aphis gossypii,108,9,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,Criptogénica-Invasora,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006851,RBBK,Reserva de la Biosfera Balam Kú,aphis gossypii,Aphis gossypii,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,GBIF,GBIF Backbone:9083295.0,108,9,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006852,RBBK,Reserva de la Biosfera Balam Kú,aphrissa aphrissa statira statira subespecie,Aphrissa Aphrissa statira statira subespecie,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Aphrissa,SNIB,SNIB/CONABIO valid taxonomy:aphrissa aphrissa statira statira subespecie,15,5,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006853,RBBK,Reserva de la Biosfera Balam Kú,aphrissa statira,Aphrissa statira,SUBSPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Aphrissa,GBIF,GBIF Backbone:1920571.0,13,4,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006854,RBBK,Reserva de la Biosfera Balam Kú,apiomerus,Apiomerus,,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,,Naturalista,Naturalista/iNaturalist taxonomy:61491.0,2,2,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006855,RBBK,Reserva de la Biosfera Balam Kú,apiomerus apiomerus longispinis,Apiomerus Apiomerus longispinis,species,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus,SNIB,SNIB/CONABIO valid taxonomy:apiomerus apiomerus longispinis,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006856,RBBK,Reserva de la Biosfera Balam Kú,apiomerus apiomerus spissipes,Apiomerus Apiomerus spissipes,species,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus,SNIB,SNIB/CONABIO valid taxonomy:apiomerus apiomerus spissipes,18,11,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006857,RBBK,Reserva de la Biosfera Balam Kú,apiomerus longispinis,Apiomerus longispinis,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus,GBIF,GBIF Backbone:2008761.0,1,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006858,RBBK,Reserva de la Biosfera Balam Kú,apiomerus spissipes,Apiomerus spissipes,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus,GBIF,GBIF Backbone:2008768.0,18,11,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006859,RBBK,Reserva de la Biosfera Balam Kú,apis apis mellifera,Apis Apis mellifera,species,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,SNIB,SNIB/CONABIO valid taxonomy:apis apis mellifera,85,12,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,Exótica,possible_cross_source_duplicate,source_authority_resolved,source_traceable
